split,eval_dir,num_samples,exact_match_rate,avg_cer,avg_edit_score,avg_bleu4,avg_latency_s
2014,/content/outputs/qwen3vl-crohme-base/base_model_eval_2014,986,0.4077079107505071,0.22695112042531562,0.8235763573803182,0.6233562923850247,0.7993886203255586
2016,/content/outputs/qwen3vl-crohme-base/base_model_eval_2016,1147,0.36704446381865735,0.2328870325735603,0.8206724406844724,0.6426401380908453,0.8512808354550996
2019,/content/outputs/qwen3vl-crohme-base/base_model_eval_2019,1199,0.396163469557965,0.2025881374611852,0.8288591565586925,0.6399741350621216,0.8224576410008282
