split,eval_dir,num_samples,exact_match_rate,avg_cer,avg_edit_score,avg_bleu4,avg_latency_s
2014,/content/outputs/qwen3vl-crohme-lora/checkpoint-final/eval_2014,986,0.7129817444219066,0.09033473359388192,0.929457505122367,0.7493356751301073,1.6668083946541283
2016,/content/outputs/qwen3vl-crohme-lora/checkpoint-final/eval_2016,1147,0.6129032258064516,0.08867570256108284,0.923982931756584,0.7647083942529628,1.7819081775475618
2019,/content/outputs/qwen3vl-crohme-lora/checkpoint-final/eval_2019,1199,0.6146788990825688,0.09116711321385267,0.9266709893603408,0.766614409425089,1.7079233256271869
