split,eval_dir,num_samples,exact_match_rate,avg_cer,avg_edit_score,avg_bleu4,avg_latency_s
2014,outputs/qwen3vl-crohme-base/base_model_eval_2014,986,0.5040567951318459,0.22292089649677438,0.8385801381671024,0.6502086309709163,0.8975991032616262
2016,outputs/qwen3vl-crohme-base/base_model_eval_2016,1147,0.4385353095030514,0.2046475062050442,0.8413209932640704,0.6740724721828666,0.9662301206094934
2019,outputs/qwen3vl-crohme-base/base_model_eval_2019,1199,0.46788990825688076,0.20068308699459914,0.847831483975256,0.6831410942580778,0.9420568150558055
