split,num_samples,both_correct,both_correct_rate,fixed_by_candidate,fixed_by_candidate_rate,regressed_after_candidate,regressed_after_candidate_rate,both_wrong,both_wrong_rate
2014,986,372,0.3772819472616633,331,0.3356997971602434,30,0.030425963488843813,253,0.2565922920892495
2016,1147,371,0.3234524847428073,332,0.28945074106364427,50,0.043591979075850044,394,0.3435047951176983
2019,1199,406,0.3386155129274395,331,0.27606338615512926,69,0.057547956630525435,393,0.32777314428690574
Overall,3332,1149,0.34483793517406963,994,0.29831932773109243,149,0.04471788715486195,1040,0.31212484993997597
