split,eval_dir,num_samples,exact_match_rate,avg_cer,avg_edit_score,avg_bleu4,avg_latency_s,experiment
2014,/content/outputs/qwen3vl-crohme-base/base_model_eval_2014,986,0.4077079107505071,0.2269511204253156,0.8235763573803182,0.6233562923850247,0.7993886203255586,base
2014,/content/outputs/qwen3vl-crohme-lora/checkpoint-final/eval_2014,986,0.7129817444219066,0.0903347335938819,0.929457505122367,0.7493356751301073,1.6668083946541283,lora
2016,/content/outputs/qwen3vl-crohme-base/base_model_eval_2016,1147,0.3670444638186573,0.2328870325735603,0.8206724406844724,0.6426401380908453,0.8512808354550996,base
2016,/content/outputs/qwen3vl-crohme-lora/checkpoint-final/eval_2016,1147,0.6129032258064516,0.0886757025610828,0.923982931756584,0.7647083942529628,1.7819081775475618,lora
2019,/content/outputs/qwen3vl-crohme-base/base_model_eval_2019,1199,0.396163469557965,0.2025881374611852,0.8288591565586925,0.6399741350621216,0.8224576410008282,base
2019,/content/outputs/qwen3vl-crohme-lora/checkpoint-final/eval_2019,1199,0.6146788990825688,0.0911671132138526,0.9266709893603408,0.766614409425089,1.7079233256271869,lora
Overall,outputs/qwen3vl-crohme-base/overall_results,3332,0.3895558223289316,0.220227613420527,0.8244777030480059,0.6359743489259657,0.8255531240900339,base
Overall,outputs/qwen3vl-crohme-lora/overall_results,3332,0.6431572629051621,0.0900631593350957,0.9265702398014718,0.7608451923130601,1.7212250372758167,lora
